0,1,2,3,4,5,6,7,8,9
0,PSNR / RMSE / MAE,37.3274dB / 0.0136028 / 0.00549321,40.5771dB / 0.00935714 / 0.0035637,42.432dB / 0.0075579 / 0.00281739,43.4352dB / 0.00667556 / 0.00242216,44.3467dB / 0.00601053 / 0.00215263,44.7622dB / 0.0055331 / 0.00195647,45.6091dB / 0.00493117 / 0.00170721,47.0441dB / 0.00421742 / 0.00143441,51.497dB / 0.00232931 / 0.000842271
1,37.3274dB / 0.0136028 / 0.00549321,PSNR / RMSE / MAE,36.7145dB / 0.0145974 / 0.00601483,37.9611dB / 0.0126457 / 0.00522757,37.3636dB / 0.0135463 / 0.00559068,37.815dB / 0.0128603 / 0.00528477,37.5537dB / 0.013253 / 0.00545022,37.5727dB / 0.013224 / 0.00542891,37.5924dB / 0.0131942 / 0.00540892,37.2887dB / 0.0136637 / 0.00551938
2,40.5771dB / 0.00935714 / 0.0035637,36.7145dB / 0.0145974 / 0.00601483,PSNR / RMSE / MAE,40.8314dB / 0.00908715 / 0.00360359,40.4057dB / 0.00954364 / 0.00375947,40.8177dB / 0.00910149 / 0.00357983,41.2146dB / 0.00869502 / 0.00343912,40.9241dB / 0.00899078 / 0.00351728,41.0158dB / 0.00889627 / 0.00348496,40.5019dB / 0.00943858 / 0.00359578
3,42.432dB / 0.0075579 / 0.00281739,37.9611dB / 0.0126457 / 0.00522757,40.8314dB / 0.00908715 / 0.00360359,PSNR / RMSE / MAE,43.4533dB / 0.00671944 / 0.00261941,42.8387dB / 0.00721215 / 0.00280061,42.5712dB / 0.00743774 / 0.00289992,43.176dB / 0.00693744 / 0.00268894,42.9564dB / 0.00711507 / 0.0027467,42.3319dB / 0.00764547 / 0.00284904
4,43.4352dB / 0.00667556 / 0.00242216,37.3636dB / 0.0135463 / 0.00559068,40.4057dB / 0.00954364 / 0.00375947,43.4533dB / 0.00671944 / 0.00261941,PSNR / RMSE / MAE,45.0227dB / 0.00556048 / 0.00216087,44.1291dB / 0.00616299 / 0.00238412,43.7545dB / 0.00643455 / 0.00244695,44.5161dB / 0.00589442 / 0.00223242,43.2906dB / 0.00678757 / 0.0024643
5,44.3467dB / 0.00601053 / 0.00215263,37.815dB / 0.0128603 / 0.00528477,40.8177dB / 0.00910149 / 0.00357983,42.8387dB / 0.00721215 / 0.00280061,45.0227dB / 0.00556048 / 0.00216087,PSNR / RMSE / MAE,46.1116dB / 0.0049053 / 0.00187325,45.0505dB / 0.00554271 / 0.00209602,45.0994dB / 0.00551155 / 0.00207498,44.1729dB / 0.00613202 / 0.00219669
6,44.7622dB / 0.0055331 / 0.00195647,37.5537dB / 0.013253 / 0.00545022,41.2146dB / 0.00869502 / 0.00343912,42.5712dB / 0.00743774 / 0.00289992,44.1291dB / 0.00616299 / 0.00238412,46.1116dB / 0.0049053 / 0.00187325,PSNR / RMSE / MAE,46.3426dB / 0.00461265 / 0.00173711,45.3882dB / 0.00514835 / 0.0019279,44.5358dB / 0.00567923 / 0.00200816
7,45.6091dB / 0.00493117 / 0.00170721,37.5727dB / 0.013224 / 0.00542891,40.9241dB / 0.00899078 / 0.00351728,43.176dB / 0.00693744 / 0.00268894,43.7545dB / 0.00643455 / 0.00244695,45.0505dB / 0.00554271 / 0.00209602,46.3426dB / 0.00461265 / 0.00173711,PSNR / RMSE / MAE,47.0736dB / 0.00420313 / 0.00155512,45.4044dB / 0.00504875 / 0.00174919
8,47.0441dB / 0.00421742 / 0.00143441,37.5924dB / 0.0131942 / 0.00540892,41.0158dB / 0.00889627 / 0.00348496,42.9564dB / 0.00711507 / 0.0027467,44.5161dB / 0.00589442 / 0.00223242,45.0994dB / 0.00551155 / 0.00207498,45.3882dB / 0.00514835 / 0.0019279,47.0736dB / 0.00420313 / 0.00155512,PSNR / RMSE / MAE,46.6167dB / 0.00443014 / 0.00150617
9,51.497dB / 0.00232931 / 0.000842271,37.2887dB / 0.0136637 / 0.00551938,40.5019dB / 0.00943858 / 0.00359578,42.3319dB / 0.00764547 / 0.00284904,43.2906dB / 0.00678757 / 0.0024643,44.1729dB / 0.00613202 / 0.00219669,44.5358dB / 0.00567923 / 0.00200816,45.4044dB / 0.00504875 / 0.00174919,46.6167dB / 0.00443014 / 0.00150617,PSNR / RMSE / MAE
